"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,22237,3,0.5,1,1,1
2025,22257,5,0.09110502620078498,0.591105026200785,1,1
2025,22316,5,0,0.5,1,1
2025,22316,6,0.002256196333056182,0.5022561963330562,1,1
2025,22757,8,0.114215039218433,0.3301742764997779,0.5997569278085408,0.8837976905271959
2025,22760,5,0,0.1479316613800089,0.4345715141014913,0.7866398527214824
2025,22771,3,0.06455281900377363,0.5645528190037736,1,1
2025,22799,3,0,0.5,1,1
2025,22801,3,0,0.5,1,1
2025,22885,5,0,0.5,1,1
2025,22899,3,0.04999999999999999,0.55,1,1
2025,22906,4,0,0.5,1,1
2025,22907,4,0,0.5,1,1
2025,22907,5,0,0.5,1,1
2025,22994,4,0,0.5,1,1
2025,22994,6,0.04545454545454547,0.5454545454545454,1,1
2025,23013,3,0.06134272421759301,0.405701031814238,0.7674127733727327,0.9230544657760877
2025,23014,3,0.06166939136897803,0.3010965934702619,0.608918604164533,0.8694914020632492
2025,23015,3,0.1075343969834526,0.5059966107691832,0.8633362697339878,0.9648740559482571
2025,23016,3,0.09822376720508147,0.4441193488162415,0.7574179537141197,0.9115223721029597
2025,23092,7,0.02813449161095893,0.5277138223999465,0.9991661076484917,0.9995867768595041
